class_name;project_name;class_id;class_path;sonar_td_minutes;squore_td_minutes;cast_td_minutes;commits_count;code_churn_avg;contributors_count;contributors_experience;hunks_count;issue_tracker_issues;cbo;wmc;dit;rfc;lcom;total_methods;max_nested_blocks;total_variables;total_refactorings;duplicated_lines;comment_lines;ncloc;high-TD
Editor.java;arduino;AW-XFOWCrInABnR0ba3E;app/src/processing/app/Editor.java;1931;900;23697;329;8;33;34.4;2;293;52;282;13;361;1704;69;4;262;662;0;370;1820;1
Base.java;arduino;AW-XFOWBrInABnR0ba3D;app/src/processing/app/Base.java;985;840;20906.4;467;5;26;23.54;2;326;70;361;1;426;4153;94;4;259;2156;0;358;1721;1
PApplet.java;arduino;AW-XFOWGrInABnR0ba45;arduino-core/src/processing/app/legacy/PApplet.java;590;353;7220.4;11;65;3;81.63;1;16;3;108;1;74;774;40;3;66;30;0;228;410;1
Preferences.java;arduino;AW-XFOWFrInABnR0ba4f;app/src/cc/arduino/view/preferences/Preferences.java;560;95;5794.2;34;29;8;73.57;4.5;217;14;46;6;130;144;20;4;93;41;0;38;799;1
BaseNoGui.java;arduino;AW-XFOWGrInABnR0ba4w;arduino-core/src/processing/app/BaseNoGui.java;550;308;8704.5;184;5;12;37.28;2;40;34;188;1;163;1635;59;5;108;276;0;155;698;1
CommandlineParser.java;arduino;AW-XFOWIrInABnR0ba5Z;arduino-core/src/processing/app/helpers/CommandlineParser.java;457;287;3876.9;21;17;6;53.6;1;9;9;103;1;36;183;26;4;30;14;0;3;310;1
InstallerJDialog.java;arduino;AW-XFOWErInABnR0ba4B;app/src/cc/arduino/contributions/ui/InstallerJDialog.java;418;60;2069.4;38;10;6;52.14;2.5;1;10;19;6;74;55;14;2;31;31;0;46;276;0
FindReplace.java;arduino;AW-XFOWGrInABnR0ba4p;app/src/cc/arduino/view/findreplace/FindReplace.java;398;145;2784;16;30;4;83.39;2;2;8;53;6;78;94;17;6;38;14;0;51;347;1
AbstractMonitor.java;arduino;AW-XFOWBrInABnR0ba28;app/src/processing/app/AbstractMonitor.java;382;45;2784;28;6;9;58.56;1;4;6;27;6;37;178;21;2;15;59;0;14;157;0
MultiLibraryInstallDialog.java;arduino;AW-XFOWDrInABnR0ba3t;app/src/cc/arduino/contributions/libraries/ui/MultiLibraryInstallDialog.java;370;65;1291.8;2;88;1;100;1;0;8;8;6;36;1;3;3;21;0;0;29;125;0
AdditionalBoardsManagerURLTextArea.java;arduino;AW-XFOWFrInABnR0ba4e;app/src/cc/arduino/view/preferences/AdditionalBoardsManagerURLTextArea.java;369;15;1296.6;7;28;1;100;6;0;3;13;6;52;53;11;0;15;2;0;36;131;0
NotificationPopup.java;arduino;AW-XFOWFrInABnR0ba4Z;app/src/cc/arduino/view/NotificationPopup.java;345;30;939.3;11;25;4;45.4;4;0;5;12;6;40;9;6;1;20;59;0;41;198;0
MenuScroller.java;arduino;AW-XFOWDrInABnR0ba3g;app/src/processing/app/tools/MenuScroller.java;319;77;4910.1;10;68;5;58.13;3.5;1;4;48;7;33;0;30;2;29;21;0;261;341;0
GoToLineNumber.java;arduino;AW-XFOWFrInABnR0ba4X;app/src/cc/arduino/view/GoToLineNumber.java;310;15;897.3;2;74;2;98.67;1;0;5;6;6;37;8;5;1;7;0;0;37;90;0
EditorHeader.java;arduino;AW-XFOWBrInABnR0ba20;app/src/processing/app/EditorHeader.java;303;109;4814.7;37;10;11;46.66;2;1;12;33;4;49;20;8;3;60;22;0;50;238;1
Platform.java;arduino;AW-XFOWGrInABnR0ba4r;arduino-core/src/processing/app/windows/Platform.java;300;109;3632.7;52;6;9;44.24;2;281;9;41;2;41;180;20;2;19;35;0;55;185;1
SerialUploader.java;arduino;AW-XFOWMrInABnR0ba6-;arduino-core/src/cc/arduino/packages/uploaders/SerialUploader.java;295;166;2961.9;54;7;11;42.13;2;21;16;60;2;50;28;8;4;36;189;19;70;276;1
TextAreaFIFO.java;arduino;AW-XFOWBrInABnR0ba2-;app/src/processing/app/TextAreaFIFO.java;295;20.5;1063.8;5;18;2;96.36;1;0;0;13;6;8;7;7;2;7;1;0;16;58;0
PasswordAuthorizationDialog.java;arduino;AW-XFOWCrInABnR0ba3T;app/src/processing/app/forms/PasswordAuthorizationDialog.java;280;15;552.9;7;17;2;97.97;3;0;4;5;6;32;0;5;0;9;3;0;0;93;0
FilterJTextField.java;arduino;AW-XFOWErInABnR0ba4G;app/src/cc/arduino/contributions/ui/FilterJTextField.java;275;17.5;706.5;13;11;5;55;1;0;1;13;6;23;1;6;2;6;1;0;33;90;0
Compiler.java;arduino;AW-XFOWKrInABnR0ba6e;arduino-core/src/cc/arduino/Compiler.java;272;195;5791.2;45;14;7;69.42;1;286;29;83;1;121;100;17;3;74;189;0;46;486;1
EditorToolbar.java;arduino;AW-XFOWBrInABnR0ba2x;app/src/processing/app/EditorToolbar.java;270;209;5007;45;13;12;53.3;2;3;12;92;4;59;244;29;3;72;132;0;79;381;1
Platform.java;arduino;AW-XFOWGrInABnR0ba41;arduino-core/src/processing/app/Platform.java;265;100;5139.6;50;6;8;34.47;2;281;9;52;1;53;406;29;9;23;16;0;65;186;1
ArchiveExtractor.java;arduino;AW-XFOWLrInABnR0ba6v;arduino-core/src/cc/arduino/utils/ArchiveExtractor.java;258;97;1860.9;16;19;5;48.75;3;4;13;54;1;55;8;5;5;28;319;0;69;201;0
SketchController.java;arduino;AW-XFOWBrInABnR0ba23;app/src/processing/app/SketchController.java;223;421;4860;190;5;26;52.25;3;15;23;108;1;154;0;23;3;66;165;0;197;525;1
Preferences.java;arduino;AW-XFOWBrInABnR0ba22;app/src/processing/app/Preferences.java;218;7.5;1259.4;96;1;18;35.95;3;217;2;12;1;12;66;12;0;3;125;0;57;55;0
SerialPortList.java;arduino;AW-XFOWGrInABnR0ba43;arduino-core/src/processing/app/SerialPortList.java;213;110;685.5;3;118;2;98.89;1;4;2;35;1;21;13;10;6;13;1;0;160;171;0
ContributionsIndexer.java;arduino;AW-XFOWKrInABnR0ba6G;arduino-core/src/cc/arduino/contributions/packages/ContributionsIndexer.java;209;282;4774.2;58;8;6;51.33;2;7;23;102;1;101;131;26;5;56;93;0;46;383;1
DownloadableContributionsDownloader.java;arduino;AW-XFOWJrInABnR0ba54;arduino-core/src/cc/arduino/contributions/DownloadableContributionsDownloader.java;194;127;3020.1;31;8;5;49.4;3;18;14;30;1;60;28;9;4;27;296;0;46;157;1
StringReplacer.java;arduino;AW-XFOWIrInABnR0ba5a;arduino-core/src/processing/app/helpers/StringReplacer.java;191;85;1641;14;10;4;70.64;1;4;3;30;1;26;10;5;4;12;8;0;27;93;0
Theme.java;arduino;AW-XFOWBrInABnR0ba2z;app/src/processing/app/Theme.java;191;211;7060.2;29;25;10;35.07;2;29;16;77;1;97;536;36;3;53;90;0;134;467;1
Win32KnownFolders.java;arduino;AW-XFOWKrInABnR0ba6T;arduino-core/src/cc/arduino/os/windows/Win32KnownFolders.java;190;30;1204.5;3;27;1;100;3;3;2;8;1;6;6;4;1;2;0;0;31;41;0
ContributionInstaller.java;arduino;AW-XFOWKrInABnR0ba6M;arduino-core/src/cc/arduino/contributions/packages/ContributionInstaller.java;140;157;3854.4;54;6;5;48.41;3;16;27;38;1;87;8;8;2;39;139;0;48;234;1
EditorTab.java;arduino;AW-XFOWCrInABnR0ba3F;app/src/processing/app/EditorTab.java;135;137;4134;23;27;6;87.75;2;10;25;60;5;128;39;38;3;40;75;0;125;420;1
LibraryManagerUI.java;arduino;AW-XFOWDrInABnR0ba3r;app/src/cc/arduino/contributions/libraries/ui/LibraryManagerUI.java;135;78;2480.1;63;5;4;52.68;3;6;26;30;7;50;34;12;3;18;38;0;32;227;0
PreferencesData.java;arduino;AW-XFOWGrInABnR0ba4z;arduino-core/src/processing/app/PreferencesData.java;131;126;3598.8;26;11;6;45.12;1;7;9;54;1;59;209;27;3;17;11;0;19;206;1
ContributedPlatformTableCellJPanel.java;arduino;AW-XFOWFrInABnR0ba4U;app/src/cc/arduino/contributions/packages/ui/ContributedPlatformTableCellJPanel.java;122;117;2845.5;41;8;5;42.33;3;0;13;31;5;72;4;5;2;42;3;56;36;248;0
ContributedLibraryTableCellJPanel.java;arduino;AW-XFOWDrInABnR0ba3s;app/src/cc/arduino/contributions/libraries/ui/ContributedLibraryTableCellJPanel.java;118;104;2459.1;16;18;4;87.75;1.5;0;10;29;5;71;4;4;2;38;7;54;17;225;0
FileUtils.java;arduino;AW-XFOWIrInABnR0ba5X;arduino-core/src/processing/app/helpers/FileUtils.java;118;139;4146.9;36;11;7;29.32;2;3;4;51;1;54;323;26;3;16;72;0;76;197;1
SerialPlotter.java;arduino;AW-XFOWBrInABnR0ba2_;app/src/processing/app/SerialPlotter.java;114;137;4777.5;13;29;7;35.12;2;2;11;28;11;45;3;7;5;24;35;0;30;291;0
Serial.java;arduino;AW-XFOWGrInABnR0ba4x;arduino-core/src/processing/app/Serial.java;103;36.5;3104.1;38;8;12;42.32;3.5;870;14;44;1;49;109;18;4;15;15;0;56;192;0
SSHUploader.java;arduino;AW-XFOWMrInABnR0ba6_;arduino-core/src/cc/arduino/packages/uploaders/SSHUploader.java;103;107;2011.2;30;8;7;96.42;1.5;3;20;39;2;49;30;9;3;21;40;0;28;185;0
PluggableDiscovery.java;arduino;AW-XFOWMrInABnR0ba66;arduino-core/src/cc/arduino/packages/discoverers/PluggableDiscovery.java;102;233;3501.9;13;23;3;63.85;4;1;11;46;1;46;23;14;4;24;91;0;39;222;1
LibraryInstaller.java;arduino;AW-XFOWIrInABnR0ba5q;arduino-core/src/cc/arduino/contributions/libraries/LibraryInstaller.java;100;93;2181;47;4;5;38.06;2;4;20;20;1;55;17;7;3;24;103;0;47;134;0
EditorStatus.java;arduino;AW-XFOWBrInABnR0ba21;app/src/processing/app/EditorStatus.java;94;116;3797.7;32;13;9;47.96;2;4;10;40;5;58;58;20;2;43;118;0;38;306;0
PreferencesHelper.java;arduino;AW-XFOWHrInABnR0ba5R;arduino-core/src/processing/app/helpers/PreferencesHelper.java;90;46;1088.1;3;35;3;98.1;1;0;1;11;1;10;3;3;2;5;1;0;58;40;0
ThinkDifferent.java;arduino;AW-XFOWDrInABnR0ba3n;app/src/processing/app/macosx/ThinkDifferent.java;88;27.5;1299.9;14;10;6;59.1;2;2;7;6;1;8;3;3;2;3;0;0;27;97;0
DiscoveryManager.java;arduino;AW-XFOWMrInABnR0ba7C;arduino-core/src/cc/arduino/packages/DiscoveryManager.java;86;37.5;1553.7;18;9;4;52.84;2;3;12;23;1;31;7;6;5;10;10;0;33;102;0
ContributionsIndex.java;arduino;AW-XFOWKrInABnR0ba6I;arduino-core/src/cc/arduino/contributions/packages/ContributionsIndex.java;84;93;1172.1;16;9;3;63.89;1.5;0;5;26;1;27;49;11;2;11;17;0;28;95;0
ContributedPackage.java;arduino;AW-XFOWKrInABnR0ba6O;arduino-core/src/cc/arduino/contributions/packages/ContributedPackage.java;83;63;1143;12;10;2;61.58;1;0;7;35;1;19;72;13;4;2;4;0;28;79;0
FileDownloaderCache.java;arduino;AW-XFOWLrInABnR0ba60;arduino-core/src/cc/arduino/utils/network/FileDownloaderCache.java;81;155;3100.8;15;29;1;100;5;0;13;24;1;77;2;5;3;30;124;0;48;336;0
ContributionManagerUI.java;arduino;AW-XFOWFrInABnR0ba4T;app/src/cc/arduino/contributions/packages/ui/ContributionManagerUI.java;80;25;1450.2;50;5;3;75.71;3;17;20;24;7;34;40;12;3;8;28;0;38;167;0
RunnerException.java;arduino;AW-XFOWHrInABnR0ba5N;arduino-core/src/processing/app/debug/RunnerException.java;80;0;1434;8;20;5;72.35;2;23;1;22;3;1;71;19;1;5;35;0;42;77;0
Platform.java;arduino;AW-XFOWHrInABnR0ba5A;arduino-core/src/processing/app/linux/Platform.java;79;58.5;1852.8;24;6;9;41.87;2;281;4;16;2;15;19;7;2;9;18;0;30;81;0
EditorLineStatus.java;arduino;AW-XFOWCrInABnR0ba3H;app/src/processing/app/EditorLineStatus.java;77;28;1836.6;25;6;7;38.94;1;0;7;18;4;29;10;8;2;18;27;0;29;87;0
PresentMode.java;arduino;AW-XFOWBrInABnR0ba26;app/src/processing/app/PresentMode.java;77;7.5;1146.3;4;32;3;95.65;1.5;0;1;4;1;8;0;1;2;10;0;0;63;38;0
FileHash.java;arduino;AW-XFOWLrInABnR0ba6u;arduino-core/src/cc/arduino/utils/FileHash.java;70;11;789;4;19;2;75.76;1.5;1;2;4;1;7;0;1;3;7;0;0;40;32;0
GTKLookAndFeelFixer.java;arduino;AW-XFOWHrInABnR0ba5B;arduino-core/src/processing/app/linux/GTKLookAndFeelFixer.java;70;10;876.3;1;151;1;100;1;2;1;5;1;17;3;3;1;15;0;0;93;45;0
LegacyTargetPlatform.java;arduino;AW-XFOWHrInABnR0ba5M;arduino-core/src/processing/app/debug/LegacyTargetPlatform.java;69;66;2244;8;31;4;61.49;1;0;9;44;1;32;57;14;3;31;45;0;35;172;0
UserLibrary.java;arduino;AW-XFOWIrInABnR0ba5f;arduino-core/src/processing/app/packages/UserLibrary.java;69;111;3050.7;40;7;5;64.09;3.5;2;9;48;1;23;216;24;2;35;139;0;41;198;0
AStyleInterface.java;arduino;AW-XFOWFrInABnR0ba4h;app/src/cc/arduino/packages/formatter/AStyleInterface.java;65;10;897.3;3;30;1;100;1;3;3;7;1;11;6;4;1;0;0;0;51;29;0
SerialDiscovery.java;arduino;AW-XFOWMrInABnR0ba7H;arduino-core/src/cc/arduino/packages/discoverers/serial/SerialDiscovery.java;65;85;1977.3;23;9;4;36.14;3;2;7;32;1;35;30;9;3;21;197;0;36;149;0
